pos_start;pos_end;len;field;description;reportingFlagPosision;Vers;Definition;Commentary
177;;1;RENALAGE;Renal agenesis;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
178;;1;UROGEN;Other urogenital anomalies;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
179;;1;CLEFTLP;Cleft lip/palate;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
180;;1;ADACTYLY;Polydactyly/Syndactyly/Adactyly;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
181;;1;CLUBFOOT;Club foot;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
182;;1;HERNIA;Diaphragmatic hernia;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
183;;1;MUSCULO;Other musculoskeletal/integumental anomalies;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
184;;1;DOWNS;Down's syndrome;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
185;;1;CHROMO;Other chromosomal anomalies;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
186;;1;OTHERCON;Other congenital anomalies;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
187;;1;ORIGM;Origin of mother;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
188;;1;ORIGF;Origin of father;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
189;;1;EDUCM;Education of mother;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
190;;1;FILLER;Filler;;;;
191;;1;GESTE;Clinical estimate of gestation;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
192;;1;FILLER;Filler;;;;
193;;1;FMAPSRF;5-minute Apgar score;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
194;;1;DELMETRF;Method of delivery;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
195;;1;MEDRSK;Medical risk factors;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
196;;1;TOBUSE;Tobacco use;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
197;;1;ALCUSE;Alcohol use;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
198;;1;WTGN;Weight gain;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
199;;1;OBSTRC;Weight gain;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
200;;1;CLABOR;Complications of labor and/or delivery;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
201;;1;ABNML;Abnormal conditions of newborn;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
202;;1;CONGAN;Congenital anomalies;;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
203;;1;API_FLAG;Race codes 18-68 reported (beginning with 1992 data);;;{"0":"The item is not reported","1":"The item is reported or partially reported."};
204;;1;CDOBMIMP;Month of Birth of Child Imputation Flag;;;{" ":"Month is not imputed","1":"Month is imputed"};
205;206;2;BIRMON;Month of Birth;;;{"01":"January","02":"February","03":"March","04":"April","05":"May","06":"June","07":"July","08":"August","09":"September","10":"October","11 ":"November","12":"December"};
207;208;2;FILLER;Filler;;;;
209;;1;WEEKDAYB;Day of Week Child Born;;;{"1":"Sunday","2":"Monday","3":"Tuesday","4":"Wednesday","5":"Thursday","6":"Friday","7":"Saturday"};
210;;1;FILLER;Filler;;;;
211;213;3;AGED;Age at Death in Days;;;{};000-365 Number of days
214;;1;AGER5;Infant age recode 5;;;{"1":"Under 1 hour","2":"1 – 23 hours","3":"1 – 6 days","4":"7 – 27 days (late neonatal)","5":"28 days and over (postneonatal)"};
215;;1;ACCIDPL;Place of Injury for Causes W00-Y34, except Y06.- and Y07.-;;;{" ":"Causes other than W00-Y34, except Y06-Y07 ","0":"Home ","1":"Farm ","2":"Mine and quarry ","3":"Industrial place and premises ","4":"Place for recreation and sport ","5":"Street and highway ","6":"Public building ","7":"Resident institution ","8":"Other specified places ","9":"Place of accident not specified"};
216;219;4;UC0D;ICD Code (10th Revision);;;{};
220;222;3;UCODR130;130 Infant Cause Recode;;;{};001-158 Code Range
223;230;8;RECWT;Record Weight (no weights computed for possessions file);;;{};1.XXXXXX
231;260;30;FILLER;Filler;;;;
261;262;2;EANUM;Number of Entity-Axis Conditions;;;{};00-20 Code range
263;269;7;ENTITY_1ST_C;1st Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
270;276;7;ENTITY_2ND_C;2nd Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
277;283;7;ENTITY_3RD_C;3rd Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
284;290;7;ENTITY_4TH_C;4th Condition;;;{};Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
291;297;7;ENTITY_5TH_C;5th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
298;304;7;ENTITY_6TH_C;6th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
305;311;7;ENTITY_7TH_C;7th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
312;318;7;ENTITY_8TH_C;8th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
319;325;7;ENTITY_9TH_C;9th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
326;332;7;ENTITY_10TH_C;10th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
333;339;7;ENTITY_11TH_C;11th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
340;346;7;ENTITY_12TH_C;12th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
347;353;7;ENTITY_13TH_C;13th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
354;360;7;ENTITY_14TH_C;14th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
361;367;7;ENTITY_15TH_C;15th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
368;374;7;ENTITY_16TH_C;16th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
375;381;7;ENTITY_17TH_C;17th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
382;388;7;ENTITY_18TH_C;18th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
389;395;7;ENTITY_19TH_C;19th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
396;402;7;ENTITY_20TH_C;20th Condition;;;{}; Position 1: Part/line number on certificate 1:Part I, line 1 (a) 2:Part I, line 2 (b) 3:Part I, line 3 (c) 4:Part I, line 4 (d) 5:Part I, line 5 (e) 6:Part II, / Position 2: Sequence of condition within part/line 1-7: Code range / Position 3 – 6: Condition code See  ICD-10 for a complete list of codes
403;404;2;RANUM;Number of Record-Axis Conditions;;;{};00-20 Code range
405;409;5;RECORD_1ST_C;1st Condition;;;{};1-4 ICD10 Code 5
410;414;5;RECORD_2ND_C;2nd Condition;;;{};1-4 ICD10 Code 5
415;419;5;RECORD_3RD_C;3rd Condition;;;{};1-4 ICD10 Code 5
420;424;5;RECORD_4TH_C;4th Condition;;;{};1-4 ICD10 Code 5
425;429;5;RECORD_5TH_C;5th Condition;;;{};1-4 ICD10 Code 5
430;434;5;RECORD_6TH_C;6th Condition;;;{};1-4 ICD10 Code 5
435;439;5;RECORD_7TH_C;7th Condition;;;{};1-4 ICD10 Code 5
440;444;5;RECORD_8TH_C;8th Condition;;;{};1-4 ICD10 Code 5
445;449;5;RECORD_9TH_C;9th Condition;;;{};1-4 ICD10 Code 5
450;454;5;RECORD_10TH_C;10th Condition;;;{};1-4 ICD10 Code 5
455;459;5;RECORD_11TH_C;11th Condition;;;{};1-4 ICD10 Code 5
460;464;5;RECORD_12TH_C;12th Condition;;;{};1-4 ICD10 Code 5
465;469;5;RECORD_13TH_C;13th Condition;;;{};1-4 ICD10 Code 5
470;474;5;RECORD_14TH_C;14th Condition;;;{};1-4 ICD10 Code 5
475;479;5;RECORD_15TH_C;15th Condition;;;{};1-4 ICD10 Code 5
480;484;5;RECORD_16TH_C;16th Condition;;;{};1-4 ICD10 Code 5
485;489;5;RECORD_17TH_C;17th Condition;;;{};1-4 ICD10 Code 5
490;494;5;RECORD_18TH_C;18th Condition;;;{};1-4 ICD10 Code 5
495;499;5;RECORD_19TH_C;19th Condition;;;{};1-4 ICD10 Code 5
500;504;5;RECORD_20TH_C;20th Condition;;;{};1-4 ICD10 Code 5
505;;1;RESSTATD;Resident Status;;;{"1":{"United States Occurrence":"RESIDENTS State and County of Occurrence and Residence are the same.","Puerto Rico Occurrence":"RESIDENTS Territory and County-equivalent of Occurrence and Residence are the same.","Virgin Islands Occurrence":"RESIDENTS Territory and County-equivalent of Occurrence and Residence are the same.","Guam Occurrence":"RESIDENTS Occurred in Guam to a resident of Guam or to a resident of the U.S."},"2":{"United States Occurrence":"INTRASTATE NONRESIDENTS State of Occurrence and Residence are the same, but County is different.","Puerto Rico Occurrence":"INTRASTATE NONRESIDENTS Territory of Occurrence and Residence are the same, but County-equivalent is different","Virgin Islands Occurrence":"INTRASTATE NONRESIDENTS Territory of Occurrence and Residence are the same, but County-equivalent is different","Guam Occurrence":""},"3":{"United States Occurrence":"INTERSTATE NONRESIDENTS State of Occurrence and Residence are different, but both are in the U.S","Puerto Rico Occurrence":"  INTERTERRITORY NONRESIDENTS Territory of occurrence and residence are different, but both are a Territory","Virgin Islands Occurrence":"INTERTERRITORY NONRESIDENTS Territory of occurrence and residence are different, but both are a Territory.","Guam Occurrence":"  INTERTERRITORY NONRESIDENTS Territory of occurrence and residence are different, but both are a Territory."}, "4":{"United States Occurrence":"FOREIGN RESIDENTS State of Occurrence is one of the 50 States or the District of Columbia, but Place of Residence is outside of the U.S.","Puerto Rico Occurrence":"FOREIGN RESIDENTS Occurred in Puerto Rico to a resident of any other place.","Virgin Islands Occurrence":"FOREIGN RESIDENTS Occurred in Virgin Islands to a resident of any other place.","Guam Occurrence":"FOREIGN RESIDENTS Occurred in Guam to a resident of any place other than Guam or the U.S"}};
506;507;2;DRSTATE_02;Expanded State of Residence - NCHS Codes - Deaths;;;{"01":"Alabama","02":"Alaska","03":"Arizona","04":"Arkansas","05":"California","06":"Colorado","07":"Connecticut","08":"Delaware","09":"District of Columbia","10":"Florida","11":"Georgia","12":"Hawaii","13":"Idaho","14":"Illinois","15":"Indiana","16":"Iowa","17":"Kansas","18":"Kentucky","19":"Louisiana","20":"Maine","21":"Maryland","22":"Massachusetts","23":"Michigan","24":"Minnesota","25":"Mississippi","26":"Missouri","27":"Montana","28":"Nebraska","29":"Nevada","30":"New Hampshire","31":"New Jersey","32":"New Mexico","33":"New York","34":"New York City","35":"North Carolina","36":"North Dakota","37":"Ohio","38":"Oklahoma","39":"Oregon","40":"Pennsylvania","41":"Rhode Island","42":"South Carolina","43":"South Dakota","44":"Tennessee","45":"Texas","46":"Utah","47":"Vermont","48":"Virginia","49":"Washington","50":"West Virginia","51":"Wisconsin","52":"Wyoming","53":"Puerto Rico","54":"Virgin Islands","55":"Guam","56":"Canada","57":"Cuba","58":"Mexico","60":"Remainder of the World"};
508;509;2;STOCCFIPD_02;State of Occurrence (FIPS) - Death;;;{"01":"Alabama","02":"Alaska","04":"Arizona","05":"Arkansas","06":"California","08":"Colorado","09":"Connecticut","10":"Delaware","11":"District of Columbia","12":"Florida","13":"Georgia","15":"Hawaii","16":"Idaho","17":"Illinois","18":"Indiana","19":"Iowa","20":"Kansas","21":"Kentucky","22":"Louisiana","23":"Maine","24":"Maryland","25":"Massachusetts","26":"Michigan","27":"Minnesota","28":"Mississippi","29":"Missouri","30":"Montana","31":"Nebraska","32":"Nevada","33":"New Hampshire","34":"New Jersey","35":"New Mexico","36":"New York","37":"North Carolina","38":"North Dakota","39":"Ohio","40":"Oklahoma","41":"Oregon","42":"Pennsylvania","44":"Rhode Island","45":"South Carolina","46":"South Dakota","47":"Tennessee","48":"Texas","49":"Utah","50":"Vermont","51":"Virginia ","53":"Washington","54":"West Virginia","55":"Wisconsin","56":"Wyoming","72":"Puerto Rico","78":"Virgin Islands","66":"Guam"};
510;512;3;CNTOCFIPD;County of Occurrence (FIPS) - Death;;;{"999":"County less than 250,000 population"};001-nnn Code range
513;514;2;STRESFIPD_02;State of Residence (FIPS) - Death;;;{"01":"Alabama","02":"Alaska","04":"Arizona","05":"Arkansas","06":"California","08":"Colorado","09":"Connecticut","10":"Delaware","11":"District of Columbia","12":"Florida","13":"Georgia","15":"Hawaii","16":"Idaho","17":"Illinois","18":"Indiana","19":"Iowa","20":"Kansas","21":"Kentucky","22":"Louisiana","23":"Maine","24":"Maryland","25":"Massachusetts","26":"Michigan","27":"Minnesota","28":"Mississippi","29":"Missouri","30":"Montana","31":"Nebraska","32":"Nevada","33":"New Hampshire","34":"New Jersey","35":"New Mexico","36":"New York","37":"North Carolina","38":"North Dakota","39":"Ohio","40":"Oklahoma","41":"Oregon","42":"Pennsylvania","44":"Rhode Island","45":"South Carolina","46":"South Dakota","47":"Tennessee","48":"Texas","49":"Utah","50":"Vermont","51":"Virginia ","53":"Washington","54":"West Virginia","55":"Wisconsin","56":"Wyoming","72":"Puerto Rico","78":"Virgin Islands","66":"Guam","72":"Puerto Rico","78":"Virgin Islands","66":"Guam"};
515;517;3;CNTYRFPD;County of Residence (FIPS) - Death;;;{"000":"Foreign residents","999":"County less than 250,000 population"};001-nnn Code range
518;522;5;PLRES;City of Residence (FIPS);;;{"00000":"Foreign residents"};00001-99999 See Geographic Table
523;;1;HOSPD_02;Place of Death and Decendent’s Status;;;{"1":"Hospital, clinic or Medical Center – Inpatient","2":"Hospital, clinic or Medical Center – Outpatient or admitted to Emergency Room","3":"Hospital, clinic or Medical Center – Dead on Arrival","4":"Hospital, Clinic or Medical Center - Patient status unknown","5":"Nursing home","6":"Residence","7":"Other","9":"Place of death unknown"};
524;527;4;DTHYR;Death Year;;;{};
528;529;2;DTHMON;Month of Death;;;{"01":"January","02":"February","03":"March","04":"April","05":"May","06":"June","07":"July","08":"August","09":"September","10":"October","11 ":"November","12":"December"};
530;531;2;FILLER;Filler;;;;
532;;1;WEEKDAYD;Day of Week of Death;;;{"1":"Sunday","2":"Monday","3":"Tuesday","4":"Wednesday","5":"Thursday","6":"Friday","7":"Saturday","9":"Unknown"};
533;535;3;FILLER;Filler;;;;
